scenario,region,sector,2020,2025,2030,2035,2040,2045,2050,2055,2060
Highcost_DAC,XZ,Electricity generation,0.000205956,0.00055588,0.000990332,0.001460738,0.001511473,0.000771724,0.000251201,9.24E-05,7.56E-05
Highcost_DAC,XZ,Industry,2.099433041,2.591556102,3.017949332,3.333632884,3.268533087,3.049603191,2.758601478,2.125499826,1.737581313
Highcost_DAC,XZ,Residential,0.947065631,1.19483005,1.409622387,1.552304277,1.537978289,1.437805912,1.320808873,0.95487201,0.871049232
Highcost_DAC,XZ,Transportation,6.0639074,6.629089465,6.882135338,6.849602692,6.649125268,6.4112717,6.250131992,5.717119218,5.673839717
Highcost_DAC,YN,Agricultural,0.298489658,0.287990326,0.282279935,0.26735455,0.225466808,0.18897141,0.150557532,0.097572086,0.075727127
Highcost_DAC,YN,Electricity generation,8.383249688,10.4121742,11.18207832,12.72832034,10.88938975,4.907440488,1.524126002,0.434632229,0.354565265
Highcost_DAC,YN,Industry,36.62417065,37.61829068,41.97979559,41.33153092,32.28697215,24.02419583,18.36267553,12.38264628,9.493590712
Highcost_DAC,YN,Residential,4.270212762,5.154481179,5.93714683,6.479894522,6.108682501,5.594839204,5.240643073,3.935173551,3.945430257
Highcost_DAC,YN,Transportation,9.666427097,10.37606857,10.70114491,10.67563639,10.28301611,9.728793005,9.317222707,8.020540686,7.781795047
Highcost_DAC,ZJ,Agricultural,0.197015566,0.188250766,0.182635895,0.169808311,0.141056877,0.116194635,0.090478886,0.056824793,0.043557863
Highcost_DAC,ZJ,Electricity generation,68.09264125,74.17501857,73.89430377,75.17781022,65.38737438,39.2946065,14.70057445,2.300609244,2.052979951
Highcost_DAC,ZJ,Industry,36.06823303,39.42288871,41.79715813,41.60381147,34.32452333,28.53570409,23.85649135,16.54886978,12.35109873
Highcost_DAC,ZJ,Residential,5.572838538,6.582270358,7.208977316,7.56254075,7.424606681,6.912488262,6.477870914,5.300092462,4.96555454
Highcost_DAC,ZJ,Transportation,13.08051379,13.48176478,13.61352831,13.63053948,12.76402876,11.72965594,10.77651596,8.084274567,7.494170184
Lowcost_DAC,AH,Agricultural,0.806718996,0.769330301,0.745185924,0.690329482,0.569868267,0.466340947,0.368905814,0.272287522,0.236837261
Lowcost_DAC,AH,Electricity generation,58.22674251,62.5798471,61.91087498,61.84243197,51.33006034,25.01981418,10.90310954,5.875306253,5.412311102
Lowcost_DAC,AH,Industry,42.74272044,43.83075551,45.29053564,43.33903929,33.56128163,27.98139663,24.04586761,19.30807526,15.17889887
Lowcost_DAC,AH,Residential,4.407121876,5.110454725,5.576787753,5.844191925,5.694005121,5.335344026,5.167024854,4.943251494,4.83867782
Lowcost_DAC,AH,Transportation,9.044136063,9.323885311,9.300260302,9.048491719,8.505696412,7.947537675,7.629847471,7.374396367,7.327981082
Lowcost_DAC,BJ,Agricultural,0.015906233,0.015141038,0.014634454,0.013435359,0.010996244,0.008901317,0.006931415,0.004996983,0.00430382
Lowcost_DAC,BJ,Electricity generation,13.84500536,13.81662569,13.82717335,13.3272446,11.21157908,7.049729286,3.923294928,2.326990703,1.870682296
Lowcost_DAC,BJ,Industry,8.679554116,10.32384673,11.46028115,11.60505047,9.966697908,8.724491143,7.828694192,6.642496257,5.820512815
Lowcost_DAC,BJ,Residential,6.531198751,8.887165068,11.05307102,12.21164226,10.8855194,10.04592408,9.800888439,9.352087092,9.310975398
Lowcost_DAC,BJ,Transportation,9.73672413,11.5526488,12.72375612,13.206003,12.96931686,12.01583942,11.28692758,10.24045267,9.503109631
Lowcost_DAC,CQ,Agricultural,0.090179581,0.086160151,0.083637723,0.077917892,0.0646603,0.053328911,0.042743418,0.032224801,0.02825817
Lowcost_DAC,CQ,Electricity generation,14.14086194,15.91817795,16.48722249,16.62655396,14.44094178,9.663744956,5.412120227,3.103675713,2.840404379
Lowcost_DAC,CQ,Industry,29.04726096,31.15155665,33.07452532,32.92923759,26.73595319,22.30151533,18.96508657,15.21763876,12.33548561
Lowcost_DAC,CQ,Residential,2.787555735,3.386785048,3.794669253,4.039644619,4.069639592,3.929375922,3.871251039,3.753692001,3.675593821
Lowcost_DAC,CQ,Transportation,6.90654719,7.437581714,7.68227185,7.640571671,7.313830901,6.884110314,6.653355927,6.419851312,6.353443207
Lowcost_DAC,China,Biomass (offsetting),-59.618354,-119.3556616,-162.6356692,-215.1386911,-237.2192636,-240.6056805,-245.8047261,-250.7556674,-253.7688185
Lowcost_DAC,China,Others,20.0627842,33.789321,46.098309,63.537971,73.54879,84.31074,92.302606,96.320011,98.165356
Lowcost_DAC,FJ,Agricultural,0.154056359,0.14762885,0.142666797,0.131394468,0.110728448,0.093935846,0.078478106,0.062844724,0.05601628
Lowcost_DAC,FJ,Electricity generation,35.59416946,39.20243949,39.27013984,40.31098297,34.57053898,18.84951535,8.879949913,4.831189961,4.348685033
Lowcost_DAC,FJ,Industry,28.60983238,30.33414527,31.58603088,31.07719602,25.12910128,20.35477796,16.92960625,13.3953008,10.70643963
Lowcost_DAC,FJ,Residential,1.919457804,2.114424329,2.214140121,2.246521826,2.146452996,1.963956893,1.846043912,1.710518185,1.625252891
Lowcost_DAC,FJ,Transportation,9.458332425,9.981072737,10.20686131,10.20923387,9.618632267,8.870019001,8.393036168,7.84331829,7.62605807
Lowcost_DAC,GD,Agricultural,0.306297239,0.292394093,0.281207752,0.2564437,0.214983044,0.181371835,0.15059859,0.119617551,0.106361711
